query_idx,db,hardness,Phi-3.5-mini-instruct,Qwen2.5-Coder-7B-Instruct,Yi-Coder-9B-Chat,abl_Qwen2.5-Coder-7B-Instruct_cot,abl_Qwen2.5-Coder-7B-Instruct_fewshot,abl_Qwen2.5-Coder-7B-Instruct_no_schemalink,abl_Qwen2.5-Coder-7B-Instruct_no_selfcorr,deepseek-coder-6.7b-instruct,granite-8b-code-instruct-128k,robust_Qwen2.5-Coder-7B-Instruct_T0.0_r1,robust_Qwen2.5-Coder-7B-Instruct_T0.4_r1,robust_Qwen2.5-Coder-7B-Instruct_T0.4_r2,robust_Qwen2.5-Coder-7B-Instruct_T0.4_r3,robust_Qwen2.5-Coder-7B-Instruct_T0.4_r4,robust_Qwen2.5-Coder-7B-Instruct_T0.4_r5,robust_Qwen2.5-Coder-7B-Instruct_T0.8_r1,robust_Qwen2.5-Coder-7B-Instruct_T0.8_r2,robust_Qwen2.5-Coder-7B-Instruct_T0.8_r3,robust_Qwen2.5-Coder-7B-Instruct_T0.8_r4,robust_Qwen2.5-Coder-7B-Instruct_T0.8_r5
0,concert_singer,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,concert_singer,medium,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,concert_singer,extra,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,concert_singer,hard,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,concert_singer,medium,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
5,concert_singer,hard,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
6,pets_1,medium,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,pets_1,easy,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,pets_1,easy,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,pets_1,extra,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
10,pets_1,hard,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,pets_1,medium,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
12,pets_1,medium,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1
13,pets_1,medium,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
14,pets_1,medium,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,car_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,car_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,car_1,extra,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
18,car_1,hard,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0
19,car_1,medium,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
20,car_1,hard,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
21,car_1,hard,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0
22,car_1,easy,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,car_1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,car_1,extra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,car_1,easy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,car_1,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,car_1,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,car_1,extra,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
29,car_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,car_1,extra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,flight_2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,flight_2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,flight_2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,flight_2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,flight_2,easy,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
36,flight_2,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,flight_2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,flight_2,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,flight_2,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
40,flight_2,extra,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
41,flight_2,extra,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0
42,flight_2,extra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,flight_2,medium,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
44,flight_2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,flight_2,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,flight_2,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,flight_2,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,employee_hire_evaluation,easy,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
49,employee_hire_evaluation,medium,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
50,employee_hire_evaluation,medium,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
51,employee_hire_evaluation,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,employee_hire_evaluation,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,employee_hire_evaluation,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,employee_hire_evaluation,easy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,employee_hire_evaluation,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,employee_hire_evaluation,easy,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0
57,cre_Doc_Template_Mgt,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,cre_Doc_Template_Mgt,medium,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
59,cre_Doc_Template_Mgt,medium,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
60,cre_Doc_Template_Mgt,extra,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,cre_Doc_Template_Mgt,easy,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
62,cre_Doc_Template_Mgt,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,cre_Doc_Template_Mgt,easy,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
64,cre_Doc_Template_Mgt,medium,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
65,cre_Doc_Template_Mgt,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,cre_Doc_Template_Mgt,medium,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
67,cre_Doc_Template_Mgt,medium,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
68,cre_Doc_Template_Mgt,medium,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,cre_Doc_Template_Mgt,hard,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0
70,cre_Doc_Template_Mgt,easy,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0
71,cre_Doc_Template_Mgt,medium,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,cre_Doc_Template_Mgt,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,cre_Doc_Template_Mgt,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,course_teach,easy,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
75,course_teach,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,course_teach,easy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,course_teach,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,course_teach,easy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,course_teach,hard,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
80,course_teach,easy,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
81,course_teach,hard,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
82,museum_visit,medium,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
83,museum_visit,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,museum_visit,extra,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
85,museum_visit,medium,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
86,wta_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,wta_1,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,wta_1,easy,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1
89,wta_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,wta_1,hard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,wta_1,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
92,wta_1,medium,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
93,wta_1,medium,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
94,wta_1,hard,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0
95,battle_death,easy,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,student_transcripts_tracking,easy,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
97,student_transcripts_tracking,extra,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0
98,student_transcripts_tracking,medium,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
99,student_transcripts_tracking,extra,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1
100,student_transcripts_tracking,medium,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
101,student_transcripts_tracking,medium,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
102,student_transcripts_tracking,extra,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0
103,student_transcripts_tracking,hard,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0
104,student_transcripts_tracking,easy,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0
105,student_transcripts_tracking,extra,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
106,student_transcripts_tracking,extra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,student_transcripts_tracking,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,student_transcripts_tracking,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,student_transcripts_tracking,easy,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
110,tvshow,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,tvshow,easy,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
112,tvshow,hard,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1
113,tvshow,hard,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
114,tvshow,medium,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
115,tvshow,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,tvshow,easy,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
117,tvshow,easy,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
118,tvshow,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,tvshow,medium,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1
120,tvshow,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,tvshow,hard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,tvshow,easy,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0
123,poker_player,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,poker_player,easy,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
125,poker_player,medium,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1
126,poker_player,medium,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0
127,poker_player,hard,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
128,poker_player,hard,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
129,poker_player,medium,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
130,poker_player,hard,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,poker_player,easy,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
132,voter_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,voter_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,world_1,easy,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0
135,world_1,easy,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
136,world_1,easy,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1
137,world_1,easy,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,world_1,hard,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0
139,world_1,medium,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0
140,world_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,world_1,easy,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1
142,world_1,hard,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
143,world_1,medium,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
144,world_1,medium,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
145,world_1,extra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,world_1,hard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,world_1,hard,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0
148,world_1,medium,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
149,world_1,medium,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
150,world_1,extra,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
151,world_1,extra,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0
152,world_1,medium,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0
153,world_1,medium,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
154,world_1,medium,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
155,world_1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,orchestra,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,orchestra,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158,orchestra,easy,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,orchestra,medium,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
160,orchestra,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
161,orchestra,medium,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1
162,orchestra,medium,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,orchestra,hard,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0
164,orchestra,hard,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1
165,orchestra,medium,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1
166,network_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,network_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,network_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,network_1,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,network_1,hard,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
171,network_1,extra,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
172,network_1,medium,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,network_1,hard,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
174,network_1,hard,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
175,network_1,extra,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1
176,dog_kennels,hard,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0
177,dog_kennels,hard,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
178,dog_kennels,hard,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1
179,dog_kennels,hard,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,dog_kennels,extra,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0
181,dog_kennels,medium,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
182,dog_kennels,extra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,dog_kennels,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
184,dog_kennels,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
185,dog_kennels,easy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186,dog_kennels,easy,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1
187,dog_kennels,medium,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
188,dog_kennels,extra,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
189,dog_kennels,extra,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1
190,dog_kennels,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,dog_kennels,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,dog_kennels,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,singer,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,singer,medium,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,singer,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196,singer,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
197,singer,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198,singer,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199,real_estate_properties,hard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
